Sentence #,Tag,Word
1,O,judging
1,O,from
1,O,previous
1,O,posts
1,O,this
1,O,used
1,O,to
1,O,be
1,B,a
1,O,good
1,B,place
1,O,","
1,O,but
1,O,not
1,O,any
1,O,longer
1,O,.
2,O,we
2,O,","
2,O,there
2,O,were
2,O,four
2,O,of
2,O,us
2,O,","
2,O,arrived
2,O,at
2,O,noon
2,O,-
2,O,the
2,O,place
2,O,was
2,O,empty
2,O,-
2,O,and
2,O,the
2,B,staff
2,O,acted
2,O,like
2,O,we
2,O,were
2,O,imposing
2,O,on
2,O,them
2,O,and
2,O,they
2,O,were
2,O,very
2,O,rude
2,O,.
3,O,they
3,O,never
3,O,brought
3,O,us
3,O,complimentary
3,O,noodles
3,O,","
3,O,ignored
3,O,repeated
3,O,requests
3,O,for
3,O,sugar
3,O,","
3,O,and
3,O,threw
3,O,our
3,O,dishes
3,O,on
3,O,the
3,O,table
3,O,.
4,O,the
4,I,food
4,O,was
4,O,lousy
4,O,-
4,O,too
4,O,sweet
4,B,or
4,O,too
4,O,salty
4,O,and
4,O,the
4,B,portions
4,O,tiny
4,O,.
5,O,after
5,O,all
5,O,that
5,O,","
5,O,they
5,O,complained
5,O,to
5,O,me
5,O,about
5,O,the
5,O,small
5,O,tip
5,O,.
6,O,avoid
6,O,this
6,B,place
6,O,!
7,O,i
7,O,have
7,O,eaten
7,O,at
7,O,saul
7,O,","
7,O,many
7,O,times
7,O,","
7,O,the
7,B,food
7,O,is
7,O,always
7,O,consistently
7,O,","
7,O,outrageously
7,O,good
7,O,.
8,B,saul
8,O,is
8,O,the
8,O,best
8,O,restaurant
8,O,on
8,O,smith
8,O,street
8,O,and
8,O,in
8,O,brooklyn
8,O,.
9,O,the
9,I,duck
9,I,confit
9,O,is
9,O,always
9,O,amazing
9,O,and
9,O,the
9,B,foie
9,I,gras
9,I,terrine
9,I,with
9,I,figs
9,O,was
9,O,out
9,O,of
9,O,this
9,O,world
9,O,.
10,O,the
10,I,wine
10,I,list
10,I,is
10,O,interesting
10,O,and
10,O,has
10,O,many
10,O,good
10,O,values
10,O,.
11,O,for
11,O,the
11,O,price
11,O,","
11,O,you
11,O,cannot
11,O,eat
11,O,this
11,O,well
11,O,in
11,O,manhattan
11,O,.
12,O,i
12,O,was
12,O,very
12,O,disappointed
12,O,with
12,O,this
12,B,restaurant
12,O,.
13,O,ive
13,O,asked
13,B,a
13,I,cart
13,I,attendant
13,O,for
13,O,a
13,O,lotus
13,O,leaf
13,O,wrapped
13,O,rice
13,O,and
13,O,she
13,O,replied
13,O,back
13,O,rice
13,O,and
13,O,just
13,O,walked
13,O,away
13,O,.
14,O,i
14,O,had
14,O,to
14,O,ask
14,O,her
14,O,three
14,O,times
14,O,before
14,O,she
14,O,finally
14,O,came
14,O,back
14,O,with
14,O,the
14,O,dish
14,O,ive
14,O,requested
14,O,.
15,B,food
15,O,was
15,O,okay
15,O,","
15,O,nothing
15,O,great
15,O,.
16,B,chow
16,I,fun
16,O,was
16,O,dry;
16,B,pork
16,I,shu
16,I,mai
16,O,was
16,O,more
16,O,than
16,O,usually
16,O,greasy
16,O,and
16,O,had
16,O,to
16,O,share
16,B,a
16,O,table
16,O,with
16,O,loud
16,O,and
16,O,rude
16,O,family
16,O,.
17,O,i/we
17,O,will
17,O,never
17,O,go
17,O,back
17,O,to
17,O,this
17,B,place
17,O,again
17,O,.
18,O,went
18,O,on
18,O,a
18,O,3
18,O,day
18,O,oyster
18,O,binge
18,O,","
18,O,with
18,B,fish
18,O,bringing
18,O,up
18,O,the
18,O,closing
18,O,","
18,O,and
18,B,i
18,O,am
18,O,so
18,O,glad
18,O,this
18,O,was
18,O,the
18,O,place
18,O,it
18,O,o
18,O,trip
18,O,ended
18,O,","
18,O,because
18,O,it
18,O,was
18,O,so
18,O,great
18,O,!
19,B,service
19,O,was
19,O,devine
19,O,","
19,B,oysters
19,O,where
19,O,a
19,O,sensual
19,O,as
19,O,they
19,O,come
19,O,","
19,O,and
19,O,the
19,O,price
19,O,can't
19,O,be
19,O,beat
19,O,!
19,O,!
19,O,!
20,O,you
20,O,can't
20,O,go
20,O,wrong
20,O,here
20,O,.
21,O,every
21,O,time
21,O,in
21,O,new
21,O,york
21,O,i
21,O,make
21,O,it
21,B,a
21,O,point
21,O,to
21,O,visit
21,B,restaurant
21,I,saul
21,O,on
21,O,smith
21,O,street
21,O,.
22,O,everything
22,O,is
22,O,always
22,O,cooked
22,O,to
22,O,perfection
22,O,","
22,O,the
22,O,service
22,O,is
22,O,excellent
22,O,","
22,O,the
22,O,decor
22,O,cool
22,O,and
22,O,understated
22,O,.
23,B,i
23,O,had
23,O,the
23,B,duck
23,I,breast
23,I,special
23,O,on
23,O,my
23,O,last
23,O,visit
23,O,and
23,O,it
23,O,was
23,O,incredible
23,O,.
24,O,can't
24,O,wait
24,O,wait
24,O,for
24,O,my
24,O,next
24,O,visit
24,O,.
25,O,i
25,O,had
25,O,my
25,O,eyes
25,O,on
25,O,this
25,O,place
25,O,","
25,O,promising
25,O,myself
25,O,i
25,O,will
25,O,one
25,O,day
25,O,'give
25,O,it
25,O,a
25,O,try
25,O,.
25,O,'
26,O,and
26,O,i
26,O,hate
26,O,to
26,O,say
26,O,this
26,O,but
26,O,i
26,O,doubt
26,O,i'll
26,O,ever
26,O,go
26,O,back
26,O,.
27,O,the
27,I,food
27,O,is
27,O,very
27,O,average
27,O,.
27,O,.
27,O,.
27,O,the
27,B,thai
27,I,fusion
27,I,stuff
27,O,is
27,B,a
27,O,bit
27,O,too
27,O,sweet
27,O,","
27,O,every
27,O,thing
27,O,they
27,O,serve
27,O,is
27,O,too
27,O,sweet
27,O,here
27,O,.
28,O,the
28,O,only
28,O,thing
28,B,i
28,O,moderately
28,O,enjoyed
28,O,was
28,O,their
28,B,grilled
28,I,chicken
28,I,special
28,I,with
28,I,edamame
28,I,puree
28,O,.
29,O,i
29,O,had
29,O,never
29,O,had
29,B,edamame
29,I,pureed
29,O,before
29,O,but
29,O,i
29,O,thought
29,O,it
29,O,was
29,O,innovative
29,O,and
29,O,tasty
29,O,(
29,O,could've
29,O,used
29,B,a
29,O,bit
29,O,more
29,O,salt
29,O,)
29,O,.
30,O,anyways
30,O,","
30,O,if
30,O,you're
30,O,in
30,O,the
30,O,neighborhood
30,O,to
30,O,eat
30,O,good
30,O,food
30,O,","
30,O,i
30,O,wouldn't
30,O,waste
30,O,my
30,O,time
30,O,trying
30,O,to
30,O,find
30,O,something
30,O,","
30,O,rather
30,O,go
30,O,across
30,O,the
30,O,street
30,O,to
30,O,tamari
30,O,.
31,O,the
31,I,decor
31,O,is
31,O,night
31,O,tho
31,O,.
31,O,.
31,O,.
31,O,but
31,O,they
31,O,really
31,O,need
31,O,to
31,O,clean
31,O,that
31,B,vent
31,O,in
31,O,the
31,O,ceiling
31,O,.
31,O,.
31,O,.
31,O,its
31,O,quite
31,O,un-appetizing
31,O,","
31,O,and
31,O,kills
31,O,your
31,O,effort
31,O,to
31,O,make
31,O,this
31,B,place
31,O,look
31,O,sleek
31,O,and
31,O,modern
31,O,.
32,O,we
32,O,ate
32,O,outside
32,O,at
32,O,haru's
32,O,sake
32,O,bar
32,O,because
32,O,haru's
32,O,restaurant
32,O,next
32,O,door
32,O,was
32,O,overflowing
32,O,.
33,O,what's
33,O,the
33,O,difference
33,O,between
33,O,the
33,O,two
33,O,?
34,O,their
34,I,sake
34,I,list
